DBN,School Name,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing
17K745,Brooklyn Institute for Liberal Arts,,,,,,,,
17K751,Academy for Health Careers,406,48.1%,100.0%,405,48.1%,100.0%,396,48.1%
18K563,It Takes a Village Academy,364,62.2%,100.0%,374,62.2%,100.0%,361,62.2%
18K566,Brooklyn Generation School,392,50.0%,100.0%,406,50.0%,100.0%,403,50.0%
18K567,Brooklyn Theatre Arts High School,379,69.1%,100.0%,393,69.1%,100.0%,373,69.1%
18K569,Kurt Hahn Expeditionary Learning School,378,72.6%,100.0%,394,72.6%,100.0%,388,72.6%
18K576,Victory Collegiate High School,386,72.7%,100.0%,408,72.7%,100.0%,402,72.7%
18K589,Arts & Media Preparatory Academy,370,64.2%,100.0%,383,64.2%,100.0%,374,64.2%
18K617,High School for Innovation in Advertising and Medi,390,59.1%,100.0%,410,59.1%,100.0%,397,59.1%
18K629,Cultural Academy for the Arts and Sciences,382,57.3%,100.0%,395,57.3%,100.0%,384,57.3%
18K633,High School for Medical Professions,404,60.2%,100.0%,427,60.2%,100.0%,424,60.2%
18K637,Academy for Conservation and the Environment,381,50.8%,100.0%,397,50.8%,100.0%,390,50.8%
18K642,Urban Action Academy,362,44.9%,100.0%,396,44.9%,100.0%,393,44.9%
19K404,Academy for Young Writers,382,81.2%,100.0%,413,81.2%,100.0%,391,81.2%
19K409,East New York Family Academy,464,66.7%,100.0%,451,66.7%,100.0%,421,66.7%
19K502,FDNY High School for Fire and Life Safety,365,47.7%,0.0%,369,47.7%,100.0%,357,47.7%
19K504,High School for Civil Rights,391,26.4%,100.0%,373,26.4%,100.0%,376,26.4%
19K507,Performing Arts and Technology High School,375,39.8%,100.0%,393,39.8%,100.0%,394,39.8%
19K510,World Academy for Total Community Health High Scho,380,40.9%,100.0%,389,40.9%,100.0%,384,40.9%
19K583,Multicultural High School,319,28.6%,0.0%,323,28.6%,0.0%,284,28.6%
19K615,Transit Tech Career and Technical Education High S,387,37.2%,100.0%,387,37.2%,100.0%,384,37.2%
19K618,Academy of Innovative Technology,395,57.4%,100.0%,376,57.4%,100.0%,359,57.4%
19K639,Brooklyn Lab School,383,46.8%,100.0%,376,46.8%,100.0%,370,46.8%
19K659,Cypress Hills Collegiate Preparatory School,365,53.8%,100.0%,370,53.8%,100.0%,362,53.8%
19K660,W. H. Maxwell Career and Technical Education High,326,38.5%,100.0%,333,38.5%,100.0%,350,38.5%
19K683,"The School for Classics: An Academy of Thinkers, W",387,52.8%,100.0%,391,52.8%,100.0%,383,52.8%
19K764,The Urban Assembly School for Collaborative Health,,,,,,,,
20K445,New Utrecht High School,488,63.2%,100.0%,422,63.2%,100.0%,417,63.2%
20K485,High School of  Telecommunication Arts and Technol,475,81.6%,100.0%,440,81.6%,100.0%,445,81.6%
20K490,Fort Hamilton High School,513,68.7%,100.0%,456,68.7%,100.0%,451,68.7%
20K505,Franklin Delano Roosevelt High School,504,54.0%,100.0%,411,54.0%,100.0%,407,54.0%
20K609,Urban Assembly School for Criminal Justice,428,83.6%,100.0%,413,83.6%,100.0%,417,83.6%
21K337,International High School at Lafayette,424,84.3%,100.0%,343,84.3%,100.0%,337,84.3%
21K344,Rachel Carson High School for Coastal Studies,436,68.4%,100.0%,430,68.4%,100.0%,421,68.4%
21K348,High School of Sports Management,367,56.2%,0.0%,374,56.2%,100.0%,361,56.2%
21K410,Abraham Lincoln High School,441,54.9%,100.0%,422,54.9%,100.0%,422,54.9%
21K468,Kingsborough Early College School,474,65.8%,100.0%,462,65.8%,100.0%,449,65.8%
21K525,Edward R. Murrow High School,500,75.2%,100.0%,479,75.2%,100.0%,472,75.2%
21K540,John Dewey High School,512,62.7%,100.0%,418,62.7%,100.0%,396,62.7%
21K559,Life Academy High School for Film and Music,369,70.2%,100.0%,379,70.2%,100.0%,378,70.2%
21K572,Expeditionary Learning School for Community Leader,420,75.0%,100.0%,396,75.0%,100.0%,396,75.0%
21K620,William E. Grady Career and Technical Education Hi,416,31.4%,100.0%,423,31.4%,100.0%,387,31.4%
21K690,Brooklyn Studio Secondary School,458,67.8%,100.0%,434,67.8%,100.0%,434,67.8%
22K405,Midwood High School,550,85.7%,100.0%,514,85.7%,100.0%,516,85.7%
22K425,James Madison High School,492,69.0%,100.0%,450,69.0%,100.0%,444,69.0%
22K495,Sheepshead Bay High School,381,51.5%,100.0%,382,51.5%,100.0%,367,51.5%
22K535,Leon M. Goldstein High School for the Sciences,563,94.0%,100.0%,534,94.0%,100.0%,543,94.0%
22K555,Brooklyn College Academy,502,98.1%,100.0%,495,98.1%,100.0%,493,98.1%
22K611,Origins High School,,,,,,,,
23K493,Brooklyn Collegiate: A College Board School,394,64.4%,100.0%,395,64.4%,100.0%,399,64.4%
23K514,Frederick Douglass Academy VII High School,400,65.4%,100.0%,407,65.4%,100.0%,394,65.4%
23K644,Eagle Academy for Young Men II,,0.0%,0.0%,,0.0%,0.0%,,0.0%
23K697,Teachers Preparatory High School,394,56.6%,100.0%,399,56.6%,100.0%,412,56.6%
24Q236,International High School for Health Sciences,,,,,,,,
24Q264,Academy of Finance and  Enterprise,489,92.7%,100.0%,456,92.7%,100.0%,459,92.7%
24Q267,High School of Applied Communication,435,70.9%,100.0%,437,70.9%,100.0%,441,70.9%
24Q293,Civic Leadership Academy,435,68.9%,100.0%,424,68.9%,100.0%,418,68.9%
24Q296,Pan American International High School,340,31.9%,100.0%,320,31.9%,0.0%,318,31.9%
24Q299,Bard High School Early College Queens,631,94.1%,100.0%,598,94.1%,100.0%,610,94.1%
24Q455,Newtown High School,434,39.1%,100.0%,401,39.1%,100.0%,389,39.1%
24Q485,Grover Cleveland High School,452,38.9%,100.0%,422,38.9%,100.0%,416,38.9%
24Q520,Middle College High School at LaGuardia Community,377,48.7%,100.0%,389,48.7%,100.0%,377,48.7%
24Q530,International High School at LaGuardia Community C,425,71.7%,100.0%,367,71.7%,100.0%,365,71.7%
24Q550,High School for Arts and Business,413,76.7%,100.0%,405,76.7%,100.0%,393,76.7%
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",478,71.1%,100.0%,445,71.1%,100.0%,445,71.1%
24Q585,Maspeth High School,476,90.0%,100.0%,471,90.0%,100.0%,480,90.0%
24Q600,Queens Vocational and Technical High School,467,53.4%,100.0%,436,53.4%,100.0%,432,53.4%
24Q610,Aviation Career & Technical Education High School,511,78.6%,100.0%,464,78.6%,100.0%,456,78.6%
25Q240,Veritas Academy,,,,,,,,
25Q241,Queens High School for Language Studies,,,,,,,,
25Q252,"Queens School of Inquiry, The",516,88.2%,100.0%,493,88.2%,100.0%,486,88.2%
25Q263,Flushing International High School,481,67.7%,100.0%,323,67.7%,100.0%,323,67.7%
25Q281,East-West School of International Studies,521,89.4%,100.0%,457,89.4%,100.0%,451,89.4%
25Q285,World Journalism Preparatory: A College Board Scho,484,89.2%,100.0%,491,89.2%,100.0%,487,89.2%
25Q425,John Bowne High School,467,62.1%,100.0%,422,62.1%,100.0%,425,62.1%
25Q460,Flushing High School,444,46.1%,100.0%,407,46.1%,100.0%,405,46.1%
25Q525,Townsend Harris High School,680,97.1%,100.0%,640,97.1%,100.0%,661,97.1%
25Q670,Robert F. Kennedy Community High School,460,67.3%,100.0%,426,67.3%,100.0%,423,67.3%
26Q315,Business Technology Early College High School,,,,,,,,
26Q415,Benjamin N. Cardozo High School,563,75.6%,100.0%,505,75.6%,100.0%,510,75.6%
26Q430,Francis Lewis High School,562,80.7%,100.0%,483,80.7%,100.0%,485,80.7%
26Q435,Martin Van Buren High School,397,40.0%,100.0%,396,40.0%,100.0%,391,40.0%
26Q495,Bayside High School,523,76.7%,100.0%,479,76.7%,100.0%,485,76.7%
26Q566,"Queens High School of Teaching, Liberal Arts and t",453,72.4%,100.0%,434,72.4%,100.0%,439,72.4%
27Q260,Frederick Douglass Academy VI High School,410,30.1%,100.0%,418,30.1%,100.0%,407,30.1%
27Q262,Channel View School for Research,427,76.6%,100.0%,430,76.6%,100.0%,423,76.6%
27Q302,"Queens High School for Information, Research, and",372,44.6%,100.0%,362,44.6%,100.0%,352,44.6%
27Q308,Robert H. Goddard High School of Communication Art,426,85.1%,100.0%,435,85.1%,100.0%,424,85.1%
27Q309,Academy of Medical Technology: A College Board Sch,422,67.6%,100.0%,424,67.6%,100.0%,415,67.6%
27Q314,Epic High School - South,,,,,,,,
27Q323,Scholars' Academy,588,99.2%,100.0%,560,99.2%,100.0%,568,99.2%
27Q324,Rockaway Park High School for Environmental Sustai,357,38.5%,0.0%,381,38.5%,100.0%,376,38.5%
27Q334,Epic High School - North,,,,,,,,
27Q351,Rockaway Collegiate High School,399,46.5%,100.0%,403,46.5%,100.0%,405,46.5%
27Q400,August Martin High School,366,26.3%,0.0%,372,26.3%,100.0%,364,26.3%
27Q475,Richmond Hill High School,413,37.9%,100.0%,406,37.9%,100.0%,399,37.9%
27Q480,John Adams High School,418,38.4%,100.0%,401,38.4%,100.0%,395,38.4%
27Q650,"High School for Construction Trades, Engineering a",489,78.9%,100.0%,457,78.9%,100.0%,451,78.9%
28Q157,J.H.S. 157 Stephen A. Halsey,,,,,,,,
28Q167,Metropolitan Expeditionary Learning School,,,,,,,,
28Q284,York Early College Academy,496,92.9%,100.0%,481,92.9%,100.0%,473,92.9%
28Q310,Queens Collegiate: A College Board School,455,74.8%,100.0%,439,74.8%,100.0%,441,74.8%
28Q325,Hillside Arts & Letters Academy,409,62.6%,100.0%,399,62.6%,100.0%,404,62.6%
28Q328,High School for Community Leadership,415,72.3%,100.0%,392,72.3%,100.0%,386,72.3%
28Q350,Jamaica Gateway to the Sciences,487,78.6%,100.0%,460,78.6%,100.0%,463,78.6%
28Q440,Forest Hills High School,517,72.8%,100.0%,485,72.8%,100.0%,483,72.8%
28Q505,Hillcrest High School,448,51.8%,100.0%,432,51.8%,100.0%,426,51.8%
28Q620,Thomas A. Edison Career and Technical Education Hi,514,80.0%,100.0%,473,80.0%,100.0%,470,80.0%
28Q680,Queens Gateway to Health Sciences Secondary School,524,92.5%,100.0%,511,92.5%,100.0%,514,92.5%
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,460,76.4%,100.0%,448,76.4%,100.0%,449,76.4%
28Q687,Queens High School for the Sciences at York Colleg,701,97.9%,100.0%,621,97.9%,100.0%,625,97.9%
28Q690,High School for Law Enforcement and Public Safety,410,56.6%,100.0%,431,56.6%,100.0%,409,56.6%
28Q896,"Young Women's Leadership School, Queens",415,90.4%,100.0%,420,90.4%,100.0%,433,90.4%
29Q243,Institute for Health Professions at Cambria Height,,,,,,,,
29Q248,Queens Preparatory Academy,423,83.7%,100.0%,422,83.7%,100.0%,403,83.7%
29Q259,Pathways College Preparatory School: A College Boa,405,72.4%,100.0%,427,72.4%,100.0%,409,72.4%
29Q265,Excelsior Preparatory High School,384,70.1%,100.0%,407,70.1%,100.0%,400,70.1%
29Q272,George Washington Carver High School for the Scien,439,63.5%,100.0%,428,63.5%,100.0%,419,63.5%
29Q283,Preparatory Academy for Writers: A College Board S,398,69.5%,100.0%,410,69.5%,100.0%,393,69.5%
29Q313,Benjamin Franklin High School for Finance & Inform,,,,,,,,
29Q326,Cambria Heights Academy,418,58.5%,100.0%,424,58.5%,100.0%,411,58.5%
29Q327,Eagle Academy for Young Men III,,,,,,,,
29Q492,"Mathematics, Science Research and Technology Magne",380,54.9%,100.0%,418,54.9%,100.0%,388,54.9%
29Q494,"Law, Government and Community Service High School",387,44.6%,100.0%,386,44.6%,100.0%,388,44.6%
29Q496,"Business, Computer Applications & Entrepreneurship",382,40.9%,100.0%,402,40.9%,100.0%,364,40.9%
29Q498,Humanities & Arts Magnet High School,384,60.2%,100.0%,409,60.2%,100.0%,401,60.2%
30Q258,Energy Tech High School,,,,,,,,
30Q286,"Young Women's Leadership School, Astoria",483,100.0%,100.0%,464,100.0%,100.0%,477,100.0%
30Q301,Academy for Careers in Television and Film,444,95.0%,100.0%,458,95.0%,100.0%,444,95.0%
30Q445,William Cullen Bryant High School,466,56.9%,100.0%,424,56.9%,100.0%,426,56.9%
30Q450,Long Island City High School,430,51.6%,100.0%,423,51.6%,100.0%,412,51.6%
30Q501,Frank Sinatra School of the Arts High School,536,89.5%,100.0%,543,89.5%,100.0%,543,89.5%
30Q502,Information Technology High School,443,58.8%,100.0%,420,58.8%,100.0%,411,58.8%
30Q555,Newcomers High School,490,47.1%,100.0%,374,47.1%,100.0%,381,47.1%
30Q575,Academy of American Studies,495,84.8%,100.0%,482,84.8%,100.0%,479,84.8%
30Q580,Baccalaureate School for Global Education,633,98.5%,100.0%,620,98.5%,100.0%,628,98.5%
31R047,CSI High School for International Studies,477,83.5%,100.0%,468,83.5%,100.0%,464,83.5%
31R064,Gaynor McCown Expeditionary Learning School,442,55.8%,100.0%,458,55.8%,100.0%,454,55.8%
31R080,The Michael J. Petrides School,483,79.2%,100.0%,473,79.2%,100.0%,470,79.2%
31R440,New Dorp High School,454,63.7%,100.0%,446,63.7%,100.0%,444,63.7%
31R445,Port Richmond High School,432,44.6%,100.0%,427,44.6%,100.0%,425,44.6%
31R450,Curtis High School,453,64.2%,100.0%,458,64.2%,100.0%,444,64.2%
31R455,Tottenville High School,494,78.9%,100.0%,476,78.9%,100.0%,476,78.9%
31R460,Susan E. Wagner High School,496,66.3%,100.0%,490,66.3%,100.0%,487,66.3%
31R600,Ralph R. McKee Career and Technical Education High,420,38.0%,100.0%,429,38.0%,100.0%,409,38.0%
31R605,Staten Island Technical High School,711,99.7%,100.0%,660,99.7%,100.0%,670,99.7%
32K168,The Brooklyn School for Math and Research,,0.0%,0.0%,,0.0%,0.0%,,0.0%
32K403,Academy for Environmental Leadership,365,71.3%,100.0%,366,71.3%,100.0%,348,71.3%
32K545,EBC High School for Public Service - Bushwick,389,50.0%,100.0%,374,50.0%,100.0%,378,50.0%
32K549,Bushwick School for Social Justice,365,50.0%,100.0%,357,50.0%,100.0%,357,50.0%
32K552,Academy of Urban Planning,392,41.9%,100.0%,374,41.9%,100.0%,379,41.9%
32K554,All City Leadership Secondary School,467,85.0%,100.0%,446,85.0%,100.0%,448,85.0%
32K556,Bushwick Leaders High School for Academic Excellen,393,46.8%,100.0%,368,46.8%,100.0%,382,46.8%
84K355,Williamsburg Collegiate Charter School,,0.0%,0.0%,,0.0%,0.0%,,0.0%
84K356,Achievement First Crown Heights Charter School,484,100.0%,100.0%,421,100.0%,100.0%,431,100.0%
84K357,KIPP AMP Charter School,452,82.6%,100.0%,411,82.6%,100.0%,418,82.6%
84K358,Achievement First East New York Charter School,,,,,,,,
84K359,The Uft Charter School,386,86.1%,100.0%,374,86.1%,100.0%,373,86.1%
84K473,Williamsburg Charter High School,406,71.8%,100.0%,408,71.8%,100.0%,395,71.8%
84K508,Achievement First Endeavor Charter School,452,96.6%,100.0%,426,96.6%,100.0%,452,96.6%
84K538,Achievement First Bushwick Charter School,507,96.2%,100.0%,448,96.2%,100.0%,478,96.2%
84K593,Excellence Boys Charter School,,,,,,,,
84K608,Kings Collegiate Charter School,,0.0%,0.0%,,0.0%,0.0%,,0.0%
84K648,Bedford Stuyvesant Collegiate -Uncommon Collegiate,,,,,,,,
84K693,Northside Charter High School,397,80.6%,100.0%,411,80.6%,100.0%,402,80.6%
84K707,Brooklyn Prospect Charter School,,,,,,,,
84K710,Brownsville Collegiate Charter School,,,,,,,,
84K730,Summit Academy Charter School,,,,,,,,
84K733,"Math, Engineering, and Science Academy Charter Hig",,,,,,,,
84K738,New Visions Charter High School for Advanced Math,,,,,,,,
84K739,New Visions Charter High School for the Humanities,,,,,,,,
84K744,Coney Island Preparatory Public Charter School,,,,,,,,
84K777,Ocean Hill Collegiate Charter School,,,,,,,,
84K780,Brooklyn East Collegiate Charter School,,,,,,,,
84M279,The Opportunity Charter School,369,52.5%,100.0%,382,52.5%,100.0%,365,52.5%
84M284,Harlem Children's Zone Promise Academy 1 Charter S,,,,,,,,
84M335,Harlem Village Academy Leadership Charter School,480,96.9%,100.0%,463,96.9%,100.0%,465,96.9%
84M336,KIPP Infinity Charter School,489,88.9%,100.0%,441,88.9%,100.0%,432,88.9%
84M341,Harlem Children's Zone Promise Academy II Charter,,,,,,,,
84M350,Democracy Prep Charter School,505,77.6%,100.0%,467,77.6%,100.0%,497,77.6%
84M353,New Heights Academy Charter School,457,79.7%,100.0%,415,79.7%,100.0%,406,79.7%
84M433,Renaissance Charter High School for Innovation,372,56.4%,100.0%,393,56.4%,100.0%,389,56.4%
84M481,Democracy Prep Harlem Charter School,,,,,,,,
84M709,Harlem Village Academy Charter School,487,96.9%,100.0%,467,96.9%,100.0%,456,96.9%
84M726,KIPP STAR College Prep Charter School,455,84.2%,100.0%,418,84.2%,100.0%,411,84.2%
84Q705,Renaissance Charter School,459,63.5%,100.0%,452,63.5%,100.0%,481,63.5%
84R067,John W. Lavelle Preparatory Charter School,,,,,,,,
84X185,Bronx Lighthouse Charter School,463,92.2%,100.0%,457,92.2%,100.0%,443,92.2%
84X202,New Visions Charter High School for Advanced Math,,,,,,,,
84X208,New Visions Charter High School for the Humanities,,,,,,,,
84X345,Hyde Leadership Charter School,428,84.1%,100.0%,424,84.1%,100.0%,422,84.1%
84X347,International Leadership Charter High School,413,98.3%,100.0%,421,98.3%,100.0%,435,98.3%
84X393,University Prep Charter High School,449,97.7%,100.0%,431,97.7%,100.0%,416,97.7%
84X395,"NYC Charter High School for Architecture, Engineer",376,85.3%,100.0%,397,85.3%,100.0%,380,85.3%
84X482,Dr. Richard Izquierdo Health and Science Charter S,,,,,,,,
84X488,The Equality Charter School,,,,,,,,
84X539,New Visions Charter High School for Advanced Math,419,91.4%,100.0%,412,91.4%,100.0%,416,91.4%
84X553,New Visions Charter High School for the Humanities,377,73.3%,100.0%,388,73.3%,100.0%,369,73.3%
84X703,Bronx Preparatory Charter School,,0.0%,0.0%,,0.0%,0.0%,,0.0%
84X704,KIPP Academy Charter School,516,93.3%,100.0%,466,93.3%,100.0%,473,93.3%
