DBN,School Name,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing
03M283,Manhattan Theatre Lab High School,362,50.0%,100.0%,376,50.0%,100.0%,385,50.0%
03M299,"High School for Arts, Imagination and Inquiry",375,58.8%,100.0%,389,58.8%,100.0%,380,58.8%
03M307,"Urban Assembly School for Media Studies, The",392,49.5%,100.0%,419,49.5%,100.0%,396,49.5%
03M402,The Urban Assembly School for Green Careers,393,60.0%,100.0%,371,60.0%,100.0%,378,60.0%
03M403,The Global Learning Collaborative,406,59.4%,100.0%,407,59.4%,100.0%,413,59.4%
03M415,Wadleigh Secondary School for the Performing & Vis,381,52.6%,100.0%,401,52.6%,100.0%,392,52.6%
03M417,FRANK McCOURT HIGH SCHOOL,489,89.1%,100.0%,491,89.1%,100.0%,500,89.1%
03M479,Beacon High School,583,82.8%,100.0%,586,82.8%,100.0%,595,82.8%
03M485,Fiorello H. LaGuardia High School of Music & Art a,592,88.5%,100.0%,592,88.5%,100.0%,597,88.5%
03M492,"High School for Law, Advocacy and Community Justic",415,60.5%,100.0%,417,60.5%,100.0%,402,60.5%
03M494,High School of Arts and Technology,421,44.4%,100.0%,428,44.4%,100.0%,406,44.4%
03M541,Manhattan / Hunter Science High School,581,97.2%,100.0%,531,97.2%,100.0%,535,97.2%
03M859,Special Music School,,,,,,,,
03M860,Frederick Douglass Academy II Secondary School,390,63.8%,100.0%,384,63.8%,100.0%,373,63.8%
04M372,ESPERANZA PREPARATORY ACADEMY,,,,,,,,
04M409,Coalition School for Social Change,344,40.5%,100.0%,368,40.5%,100.0%,367,40.5%
04M435,Manhattan Center for Science and Mathematics,556,87.6%,100.0%,505,87.6%,100.0%,495,87.6%
04M495,Park East High School,429,89.6%,100.0%,433,89.6%,100.0%,435,89.6%
04M555,Central Park East High School,483,97.9%,100.0%,468,97.9%,100.0%,439,97.9%
04M610,Young Women's Leadership School,478,100.0%,100.0%,465,100.0%,100.0%,472,100.0%
04M680,"Heritage School, The",385,56.8%,100.0%,380,56.8%,100.0%,370,56.8%
05M157,The Urban Assembly School for Global Commerce,,,,,,,,
05M304,Mott Hall High School,416,36.9%,100.0%,445,36.9%,100.0%,440,36.9%
05M362,Columbia Secondary School,583,88.2%,100.0%,561,88.2%,100.0%,546,88.2%
05M367,Academy for Social Action: A College Board School,357,54.0%,0.0%,349,54.0%,100.0%,365,54.0%
05M369,Urban Assembly School for the Performing Arts,379,76.7%,100.0%,399,76.7%,100.0%,388,76.7%
05M469,Choir Academy of Harlem,,20.0%,0.0%,,20.0%,100.0%,,20.0%
05M499,Frederick Douglass Academy,463,65.1%,100.0%,452,65.1%,100.0%,450,65.1%
05M670,Thurgood Marshall Academy for Learning and Social,402,84.7%,100.0%,394,84.7%,100.0%,400,84.7%
05M685,Bread & Roses Integrated Arts High School,376,37.3%,100.0%,375,37.3%,100.0%,370,37.3%
05M692,"High School for Mathematics, Science and Engineeri",683,92.6%,100.0%,610,92.6%,100.0%,596,92.6%
06M211,Inwood Early College for Health and Information Te,,,,,,,,
06M293,City College Academy of the Arts,495,95.3%,100.0%,445,95.3%,100.0%,450,95.3%
06M346,Community Health Academy of the Heights,387,55.3%,100.0%,389,55.3%,100.0%,385,55.3%
06M348,Washington Heights Expeditionary Learning School,443,87.0%,100.0%,423,87.0%,100.0%,434,87.0%
06M462,The College Academy,367,41.9%,100.0%,377,41.9%,100.0%,363,41.9%
06M463,High School for Media and Communications,378,33.0%,100.0%,381,33.0%,100.0%,383,33.0%
06M467,High School for Law and Public Service,401,44.1%,100.0%,394,44.1%,100.0%,381,44.1%
06M468,High School for Health Careers and Sciences,374,56.2%,100.0%,385,56.2%,100.0%,389,56.2%
06M540,A. Philip Randolph Campus High School,459,74.0%,100.0%,453,74.0%,100.0%,447,74.0%
06M552,Gregorio Luperon High School for Science and Mathe,383,71.0%,100.0%,355,71.0%,100.0%,352,71.0%
07X221,South Bronx Preparatory: A College Board School,419,76.9%,100.0%,414,76.9%,100.0%,394,76.9%
07X223,M.S. 223 The Laboratory School of Finance and Tech,,,,,,,,
07X259,"H.E.R.O. High (Health, Education, and Research Occ",,,,,,,,
07X334,International Community High School,345,58.2%,100.0%,338,58.2%,100.0%,312,58.2%
07X427,Community School for Social Justice,380,38.4%,100.0%,382,38.4%,100.0%,362,38.4%
07X473,Mott Haven Village Preparatory High School,377,44.9%,100.0%,373,44.9%,100.0%,369,44.9%
07X495,University Heights Secondary School,420,87.8%,100.0%,446,87.8%,100.0%,424,87.8%
07X500,Hostos-Lincoln Academy of Science,463,80.0%,100.0%,451,80.0%,100.0%,435,80.0%
07X520,Foreign Language Academy of Global Studies,,32.6%,0.0%,,32.6%,100.0%,,32.6%
07X522,Bronx Design and Construction Academy,,0.8%,0.0%,,0.8%,0.0%,,0.8%
07X527,Bronx Leadership Academy II High School,384,61.3%,100.0%,355,61.3%,100.0%,361,61.3%
07X547,New Explorers High School,390,30.4%,100.0%,398,30.4%,100.0%,376,30.4%
07X548,Urban Assembly School for Careers in Sports,402,55.5%,100.0%,405,55.5%,100.0%,395,55.5%
07X551,The Urban Assembly Bronx Academy of Letters,398,57.8%,100.0%,400,57.8%,100.0%,405,57.8%
07X600,Alfred E. Smith Career and Technical Education Hig,390,29.8%,100.0%,373,29.8%,100.0%,371,29.8%
07X655,Samuel Gompers Career and Technical Education High,,15.2%,100.0%,,15.2%,100.0%,,15.2%
07X670,Health Opportunities High School,374,57.9%,100.0%,386,57.9%,100.0%,382,57.9%
08X269,Bronx Studio School for Writers and Artists,417,71.6%,100.0%,412,71.6%,100.0%,403,71.6%
08X282,Women's Academy of Excellence,386,45.2%,100.0%,390,45.2%,100.0%,389,45.2%
08X293,Renaissance High School for Musical Theater & Tech,390,52.3%,100.0%,411,52.3%,100.0%,393,52.3%
08X295,Gateway School for Environmental Research and Tech,,21.2%,0.0%,,21.2%,100.0%,,21.2%
08X305,Pablo Neruda Academy,394,44.2%,100.0%,384,44.2%,100.0%,383,44.2%
08X312,Millennium Art Academy,396,39.2%,100.0%,413,39.2%,100.0%,395,39.2%
08X320,Pelham Lab High School,,,,,,,,
08X332,Holcombe L. Rucker School of Community Research,376,59.0%,100.0%,372,59.0%,100.0%,369,59.0%
08X348,Schuylerville Preparatory High School,,,,,,,,
08X349,Bronx River High School,,,,,,,,
08X367,"Archimedes Academy for Math, Science and Technolog",418,51.2%,100.0%,430,51.2%,100.0%,403,51.2%
